モンスタID,モンスタ名,ドロップ1,ドロップ率,ドロップ2,ドロップ率,ドロップ3,ドロップ率,ドロップ4,ドロップ率,ドロップ5,ドロップ率,ドロップ6,ドロップ率,ドロップ7,ドロップ率,ドロップ8,ドロップ率
1169,スケルワーカー,ランタン,5500,鉄,400,石炭,200,鋼鉄,100,エルニウム原石,90,光の粒,5,工事帽,2,スケルワーカーカード,1
1170,ソヒー,長い髪,9000,馬牌,350,乙女の着物,50,マフラー [1],5,スティレット [3],5,プエンテローブ [1],1,看護帽,1,ソヒーカード,1
1171,兵隊アンドレ,蟻の顎,0,虫の足,0,ハチの針,0,ガーネット,0,アメジスト,0,サードオニキス,0,トパーズ,0,ダイヤモンド３カラット,0
1172,兵隊デニーロ,蟻の顎,0,虫の足,0,ハチの針,0,アクアマリン,0,エメラルド,0,サファイア,0,ジルコン,0,ダイヤモンド３カラット,0
1173,兵隊ピエール,蟻の顎,0,虫の足,0,ハチの針,0,真珠,0,ルビー,0,オパール,0,ダイヤモンド１カラット,0,ダイヤモンド３カラット,0
1174,スタイナー,華麗な蟲の皮,9000,ガレット,2100,鉄鉱石,300,ウィンドオブヴェルデュール,70,エンベルタコン,30,エルニウム原石,25,けっこうかたい皮,10,スタイナーカード,1
1175,タロウ,ねずみの尻尾,9000,獣の皮,3000,化け物のエサ,1000,やわらかな毛,800,オラオラ,2,リンゴ,0,リンゴ,0,タロウカード,1
1176,ビタタ,蟲の皮,5000,蜜の瓶,0,ローヤルゼリー,0,ハチ蜜,350,ハチ蜜,350,ローヤルゼリー,0,オリデオコン原石,26,ビタタカード,1
1177,ゼノーク,ゼノークの歯,5500,べとべとする液体,2500,黄ハーブ,100,オリデオコン原石,70,光ってる石,20,古い魔法書,5,リンゴ,0,ゼノークカード,1
1178,ゼロム,鉄鉱石,300,ブリーフ,200,鉄,190,エンベルタコン,55,足鎖,10,デモ用のマスク,3,光の粒,0,ゼロムカード,1
1179,ウィスパー,透明な布,5335,魔女の星の砂,0,星の粉,150,シルバーローブ [1],10,魂のリング,1,リンゴ,0,リンゴ,0,ウィスパーカード,1
1180,九尾狐,狐の尻尾,4656,万能薬,350,ガラス玉,200,オリデオコン原石,100,古木の枝,100,ローヤルゼリー,250,古く青い箱,100,九尾狐カード,1
1182,キノコ,紅の毛ベトベトキノコ,3000,紅の毛網キノコ,1500,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1183,チョンチョン(転職場),かたい皮,0,ゼロピー,0,ハエの羽,0,カッター [4],0,鉄,0,チョンチョン人形,0,リンゴ,0,チョンチョンカード,1
1184,ファブル(転職場),綿毛,2000,クローバー,500,緑ハーブ,350,やわらかな毛,250,クラブ [3],200,クラブ [4],80,エメラルド,2,リンゴ,0
1185,ウィスパー(転職場),透明な布,100,星の粉,10,シルバーローブ [1],1,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1186,巨大ウィスパー,透明な布,5335,星の粉,150,シルバーローブ [1],10,魂のリング,1,リンゴ,0,リンゴ,0,リンゴ,0,巨大ウィスパーカード,1
1188,ボンゴン,短いピッグテールリボン,5500,黄ハーブ,1000,黄ハーブ,1000,古い巻物,60,古いポートレート,40,返魂のお札,15,ボンゴン帽,1,ボンゴンカード,1
1189,オークアーチャー,鋭い牙,4656,岩石の矢,2500,風の矢,2500,赤ハーブ,1400,鋼鉄の矢,1000,白ハーブ,900,オークアーチャーの弓,2,オークアーチャーカード,1
1190,オークロード,エルニウム,4268,エルデ [2],8000,古い紫色の箱,1000,ブラッドアックス,400,リング [1],400,ロードサークレット,400,ドゥームスレイヤー [1],400,オークロードカード,1
1191,ミミック,拡大鏡,3000,設置用トラップ,1200,光の粒,1000,エルニウム原石,270,古く青い箱,45,古い紫色の箱,5,ロザリオ [1],1,ミミックカード,1
1192,レイス,透明な布,5820,蝶の羽,1300,レッドジェムストーン,650,ヴェール,10,マント,10,ダイヤモンド２カラット,5,マント [1],2,レイスカード,1
1193,アラーム,時計の針,5335,ジャルゴン,1500,ドクロ,1500,拡大鏡,1300,オリデオコン,105,時計塔のカギ,20,クリップ [1],1,アラームカード,1
1194,アクラウス,丸形の皮,3500,べとべとする液体,3000,ジャルゴン,450,けっこうかたい皮,800,ジャルゴン,450,レッドジェムストーン,300,グレイトネイチャ,20,アクラウスカード,1
1195,ライドワード,古い本のページ,4850,追憶のしおり,300,古い魔法書,14,荒れ狂う波の書,24,裂けた大地の書,19,燃える太陽の書,2,乾いてる風の書,12,ライドワードカード,1
1196,スケルプリズナー,手錠,3500,くさった包帯,3500,死者の遺品,1500,縛られた鎖,0,古いスプーン,100,足鎖,35,フォーマルスーツ [1],1,スケルプリズナーカード,1
1197,ゾンビプリズナー,ボロボロ囚人服,3500,くさった包帯,3500,縛られた鎖,0,エルニウム,112,古いスプーン,105,足鎖,39,アイアンケイン,1,ゾンビプリズナーカード,1
1198,ダークプリースト,ブルージェムストーン,9000,ドクロ,3000,ロザリー,30,黒羽のスーツ [1],250,黙示録,5,治癒の光,1,悪魔祓いの書 [2],100,ダークプリーストカード,1
1199,パンク,カビの粉,5335,蛾の羽粉,3000,ハエの羽,1100,魔女の星の砂,1000,イエロージェムストーン,800,おしゃぶり,100,フード [1],15,パンクカード,1
1200,ジルタス,白ハーブ,1800,薔薇水晶,1500,女王の鞭,100,タイツ [1],8,執行人の手袋,5,蝶の仮面,3,イヤリング [1],1,ジルタスカード,1
1201,リビオ,長く細い舌,3880,白ハーブ,1800,オイルボトル,30,オリデオコン,100,イジドル,30,非情な心,10,執行人の手袋,3,リビオカード,1
1202,フェンダーク,長く細い舌,3880,白ハーブ,1800,オリデオコン,150,電気線,100,執行人の手袋,4,リンゴ,0,リンゴ,0,フェンダークカード,1
1203,ミステルテイン,黒雲母,1500,神秘のルーン原石,0,オリデオコン,243,スレイヤー [3],70,バスタードソード [3],40,クレイモア,2,ロキのささやき,1,ミステルテインカード,1
1204,オーガトゥース,白雲母,1500,オリデオコン,189,鋼鉄,120,ダガー [3],70,純潔の小太刀,50,スティレット [3],40,古い柄,1,オーガトゥースカード,1
1205,エクスキューショナー,金雲母,1500,オリデオコン,145,鋼鉄,120,レイピア [3],80,シミター [3],60,環頭太刀 [3],40,血に染まった刃,5,エクスキューショナーカード,1
1206,アノリアン,けっこうかたい皮,5335,アノリアンの皮膚,4850,水晶の矢,2000,オリデオコン,134,赤いマフラー,10,ローヤルゼリー,5,ブローチ [1],1,アノリアンカード,1
1207,スティング,ドロの塊,4850,岩石の矢,1500,黒色火薬,1000,石炭,130,グレイトネイチャ,25,シルクリボン,10,グローブ [1],1,スティングカード,1
1208,彷徨う者,ドクロ,4850,イグドラシルの葉,650,オリデオコン,217,白刃 [1],5,草の葉,5,古いカード帖,1,村正,1,彷徨う者カード,1
1209,クランプ,おおネズミの爪,4656,化け物のエサ,1000,レモン,250,ガラス玉,110,オリデオコン,95,サファイア,80,青ハーブ,70,クランプカード,1
1211,ブリライト,華麗な皮,5335,白ハーブ,2600,ジャルゴン,1200,イグドラシルの葉,250,エルニウム原石,220,ウィンドオブヴェルデュール,200,光の粒,0,ブリライトカード,1
1212,アイアンフィスト,サソリの尻尾,0,鋼鉄のようなサソリの尻尾,5335,鉄鉱石,750,エルニウム原石,22,オリデオコン原石,0,鉄,300,鋼鉄,180,アイアンフィストカード,1
1213,ハイオーク,オーク戦士の証,7500,オーガの牙,2500,縛られた鎖,0,ジャルゴン,1300,オリデオコン,0,鋼鉄,90,オーキッシュアックス,10,ハイオークカード,1
1214,チョコ,サルのしっぽ,7000,猿の爪,5335,バナナ,5000,バナナジュース,1000,エルニウム,53,イグドラシルの実,25,熱帯のバナナ,20,チョコカード,1
1215,ステムワーム,堅い鱗の茎,5335,白ハーブ,1800,イグドラシルの種,45,オリデオコン原石,115,グレイヴ [2],20,なわとび,10,グレイトネイチャ,5,ステムワームカード,1
1216,ペノメナ,触手,8000,べとべとする液体,7000,サンゴ,4850,レッドジェムストーン,550,万能薬,200,アメジスト,15,爆炎のカタール,1,ペノメナカード,1
1219,深淵の騎士,馬の手綱,5335,エルニウム,369,バトルフック [1],20,漆黒の鎧 [1],10,闇に沈んだ刃,5,ロードクロース [1],1,ブロードソード [2],1,深淵の騎士カード,1
1237,女王直属アンドレ,蟲の皮,6000,かたい触角,0,砂の塊,0,イエローライブ,0,グレイトネイチャ,0,鋼鉄,0,オリデオコン,0,古いカード帖,0
1238,女王直属ピエール,蟲の皮,6000,かたい触角,0,砂の塊,0,ウィンドオブヴェルデュール,0,ラフウィンド,0,鋼鉄,0,オリデオコン,0,古いカード帖,0
1239,女王直属デニーロ,蟲の皮,6000,かたい触角,0,砂の塊,0,レッドブラッド,0,フレイムハート,0,鋼鉄,0,オリデオコン,0,古いカード帖,0
1242,マーリン,ガレット,3200,キャンディ,350,べとべとする液体,1500,フロストダイバーLv1,100,青ハーブ,75,アクアマリン,40,ポリン帽,1,マーリンカード,1
1243,サスカッチ,くまの足の裏,5000,やわらかな毛,1000,白ハーブ,800,ジャルゴン,750,エルニウム原石,90,オパール,30,パンダ帽,1,サスカッチカード,1
1244,ジャッククリスマス,カボチャの頭,5335,穴が開いている赤い靴下,900,エルニウム,31,タイツ [1],5,プレゼントボックス（赤）,50,包装紙,1200,包装リボン,1200,ジャックカード,1
1245,クリスマスゴブリン,鉄,0,包装リボン,550,包装紙,550,オリデオコン原石,43,プレゼントボックス,10,サンタのぼうし,10,ダーク [3],10,ゴブリンカード,1
1246,クリスマスクッキー,よく焼いたクッキー,1500,赤ハーブ,1700,ジャルゴン,200,コールドボルトLv3,100,真珠,45,フード [1],25,プレゼントボックス,5,クリスマスクッキーカード,1
1247,アンソニ,サンタのひげ,250,穴が開いている赤い靴下,1000,真っ赤な袋,1000,サンタのぼうし,250,ビュッシュ・ド・ノエル,1000,クリスマスボックス,0,豪華なクリスマスボックス,0,アンソニカード,1
1248,クルーザー,セルー,3500,手錠,900,鉄,320,オリデオコン原石,87,ブランチ [3],5,ラフウィンド,5,聖職者の帽子,2,クルーザーカード,1
1249,ミストケース,ひとくちケーキ,800,キャンディ,340,真珠,150,スティックキャンディ,90,古く青い箱,20,光の粒,5,ダイヤモンド２カラット,5,ミストケースカード,1
1250,チェペット,リンゴ,5500,マッチ,2500,黄ハーブ,1300,ジャルゴン,750,まだ熟してないリンゴ,40,赤いマフラー,5,ぼろマント,5,チェペットカード,1
1251,ストームナイト,エルニウム,4559,古い紫色の箱,4000,古く青い箱,3000,マント [1],500,リング [1],200,ゼピュロス,150,ロードサークレット,1,ストームナイトカード,1
1252,ハティー,ハティーの牙,5500,エルニウム,3977,オリデオコン,2900,冷たい氷柱のカタール,500,ガルムの爪 [1],500,アイスファルシオン,150,リンゴ,0,ハティーカード,1
1253,ガーゴイル,ジャルゴン,3880,サイレンスアロー,2000,子悪魔の翼,500,エルニウム原石,238,マント [1],2,弓用の指貫,1,リンゴ,0,ガーゴイルカード,1
1254,レグルロ,鳥の羽毛,5000,サイファー,3000,スピードアップポーション,200,ブドウ,200,ウィンドオブヴェルデュール,90,オリデオコン原石,32,ゴーグル [1],7,レグルロカード,1
1255,ネレイド,ミミズの皮,5100,サイファー,1000,ブドウ,250,青ハーブ,230,エルニウム原石,180,エルニウム,37,氷剣の鞭,10,ネレイドカード,1
1256,ペスト,ミミズの皮,5500,レッドジェムストーン,250,ブリガン,200,オリデオコン原石,115,アンティペインメント,100,家畜の血,10,リンゴ,0,ペストカード,1
1257,インジャスティス,ブリガン,5335,サイファー,3500,鋼鉄,300,アーマー [1],5,プレート,2,赤いろうそく,2,ジャマダハル [1],2,インジャスティスカード,1
1258,ゴブリンアーチャー,オリデオコンの矢,3000,セルー,1000,赤ハーブ,600,ブドウ,300,鉄,250,コンポジットボウ [4],25,ゴブリン族の仮面,3,ゴブリンアーチャーカード,1
1259,グリフォン,ブリガン,5335,グリフォンの爪,2500,ギザルム [3],1500,オリデオコン,185,ラフウィンド,150,柔らかい羽毛,120,ポールアクス [1],1,グリフォンカード,1
1260,ダークフレーム,ブリガン,4656,赤い額縁,1000,星のかけら,80,マント,30,水晶鏡,3,リンゴ,0,リンゴ,0,ダークフレームカード,1
1261,ワイルドローズ,サイファー,5335,化け物のエサ,600,木の実,120,しおれないバラ,50,腐った魚,35,大きなリボン,2,シーフクロース [1],1,ワイルドローズカード,1
1262,ミュータントドラゴン,ブリガン,4850,輝石,1500,ドラゴンの牙,500,ドラゴンの鱗,500,ドラゴンの遺産,100,ドラゴンブレス [1],50,エナジー<竜狩>,0,ミュータントドラゴンカード,1
1263,ウィンドゴースト,スケルボーン,6000,ドクロ,500,ジャルゴン,4559,ラフウィンド,100,ライトニングボルトLv5,100,アークワンド [2],8,骸骨の杖,1,ウィンドゴーストカード,1
1264,半漁人,古代魚の唇,1300,レモン,400,オリデオコン原石,203,アクアマリン,40,ミスティックフローズン,35,トライデント [2],3,プレート [1],1,半漁人カード,1
1265,クッキー,よく焼いたクッキー,1000,キャンディ,320,スティックキャンディ,150,ヒールLv3,100,料理王オルレアン1巻,100,サンダル [1],30,光の粒,0,クッキーカード,1
1266,ヒトデ,単細胞,1200,べとべとする液体,500,黄ハーブ,200,リンゴ,100,ジャルゴン,60,サンゴ,40,リンゴ,100,ヒトデカード,1
1267,ジェスター,ブリガン,3200,白ハーブ,1450,アイスクリーム,1000,ハイヒール,5,ピエロの帽子,1,リンゴ,0,リンゴ,0,ジェスターカード,1
1268,ブラッディナイト,ブリガン,4850,ストロングシールド [1],62,ヘルム [1],45,プレート [1],5,漆黒の鎧 [1],0,ポールアクス [1],2,カッツバルゲル,1,ブラッディナイトカード,1
